species,variable,s_min,s_max,s_value,i_min,i_max,i_value,units,source_score,n_sources,sd,n_sources_u,include
Apple,aspect,,,"N, NE, E, NW, W, SW, SE, S",,,"NE, E, SE",,0.7,6,0.089442719,4,0
Apple,chilling hours,200,Inf,,1000,Inf,,,0.58,5,0.130384048,5,0
Apple,growing degree days,1900,Inf,,,,,def F,0.4,1,#DIV/0!,1,1
Apple,growing season length,70,Inf,,70,Inf,,,0.65,2,0.070710678,2,0
Apple,mean annual temperature,5.7,24.2,,,,,deg C,0.6,1,#DIV/0!,1,0
Apple,minimum winter temperature,-40,Inf,,-30,Inf,,deg C,0.75,6,0.151657509,6,1
Apple,pH,4.5,8.2,,6,7,,,0.646,13,0.139136531,10,1
Apple,precipitation,300,1600,,,,,mm,0.533,3,0.115470054,2,0
Apple,soil depth,30,Inf,,100,Inf,,cm,0.644,9,0.133333333,8,1
Apple,soil drainage,,,"excessively drained, somewhat excessively drained, well drained, moderately well drained, somewhat poorly drained",,,"well-drained, moderately well-drained",,0.671,7,0.138013112,7,1
Apple,soil texture,,,"sandy clay, silty clay, clay loam, silty clay loam, sandy clay loam, loam, silt loam, sandy loam, loamy sand, silt, sand",,,"sandy loam, sandy clay loam",,0.608,12,0.156427929,9,1
Apple,topographic position,,,"hillslope, hilltop, flatland",,,"hillslope, flatland",,0.6875,8,0.083452296,6,0
Apple,USDA zone,3,9,,3,8,,,0.5,3,0.1,3,0
